序号,行业名称,回测起点时间,预测周期阶段,预测政策阶段,预测组合类型,实际T+1年涨幅_行业指数,实际T+1年涨幅_沪深300,相对收益,预测准确性,验证说明,数据来源
1,新能源汽车,2020-06,成长期,聚焦期,红利交叠期,125.3,24.5,+100.8,准确,渗透率5%→25% 比亚迪股价涨4倍,Wind/中汽协
2,光伏设备,2021-01,成长期,聚焦期,红利交叠期,85.2,-5.2,+90.4,准确,硅料价格暴涨 龙头企业利润翻倍,PVinfolink
3,教培K12,2020-12,成熟期,压降期,红利消失期,-72.5,15.3,-87.8,准确,双减政策出台 行业出清,教育部公告
4,房地产开发,2021-06,成熟期,退出期,红利退坡期,-35.8,-12.5,-23.3,准确,三道红线 房企暴雷潮,国家统计局
5,互联网大厂,2021-03,成熟期,退出期,红利退坡期,-45.2,8.7,-53.9,准确,反垄断法 裁员潮,公司财报
6,半导体设备,2020-03,初创期,引导期,高风险押宝期,68.5,12.3,+56.2,基本准确,国产替代加速 但波动性大,SEMI/Wind
7,医药CXO,2020-06,成长期,聚焦期,红利交叠期,95.3,28.5,+66.8,准确,疫情受益 订单爆满,公司财报
8,医药CXO,2022-06,成熟期,退出期,红利退坡期,-55.2,-8.5,-46.7,准确,美国制裁预期 订单回流,公司财报
9,煤炭,2020-12,衰退期,压降期,红利消失期,45.8,-5.3,+51.1,反例,碳中和预期但供给短缺 煤价暴涨,国家统计局
10,储能,2022-06,初创期,聚焦期,高风险押宝期,28.5,-15.2,+43.7,待验证,政策强力补贴 但产能过剩隐忧,CNESA
